ImageNumber,ObjectNumber,FileName_Cell_Mask,FileName_DAPI,FileName_GFP,PathName_Cell_Mask,PathName_DAPI,PathName_GFP,Children_GFP_foci_Count,Number_Object_Number,Parent_Nuclei
1,1,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,20,1,1
1,2,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,30,2,2
1,3,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,0,3,3
1,4,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,9,4,4
1,5,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,24,5,5
1,6,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,0,6,6
1,7,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,108,7,7
1,8,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,33,8,8
1,9,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,6,9,9
1,10,20240708-A19841_B01_s4_w3.TIF,20240708-A19841_B01_s4_w1.TIF,20240708-A19841_B01_s4_w2.TIF,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,C:\Users\Schlieker Lab\Downloads\DemoImages\DemoImages,0,10,10
