key	value
NM:ALRESTATIN	OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23
NM:AMLODIPINE BESYLATE	CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C.O[S](=O)(=O)c3ccccc3
NM:BENZYL ISOTHIOCYANATE	S=C=NCc1ccccc1
NM:BRONOPOL	OCC(Br)(CO)[N+]([O-])=O
NM:CELASTROL	CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(O)=O
NM:CHLORHEXIDINE DIHYDROCHLORIDE	[H+].[H+].[Cl-].[Cl-].NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2
NM:CHLORPROMAZINE HYDROCHLORIDE	[H+].[Cl-].CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
NM:CHOLINE CHLORIDE	[Cl-].C[N+](C)(C)CCO
NM:CLENBUTEROL HYDROCHLORIDE	[H+].[Cl-].CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
NM:CLIOQUINOL	Oc1c(I)cc(Cl)c2cccnc12
NM:CORTISONE ACETATE	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
NM:CYCLIZINE	CN1CCN(CC1)C(c2ccccc2)c3ccccc3
NM:CYCLOHEXIMIDE	C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2
NM:DAUNOMYCIN HYDROCHLORIDE	[Cl-].COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O.[H+]
NM:DEOXYGEDUNIN	CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C=C4C13C)c5cocc5
NM:DIHYDROCELASTRYL DIACETATE	NA
NM:DISULFIRAM	CCN(CC)C(=S)SSC(=S)N(CC)CC
NM:DROXYDOPA	NC(C(O)c1ccc(O)c(O)c1)C(O)=O
NM:DYPHYLLINE	CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O
NM:ECONAZOLE NITRATE	O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
NM:EMETINE DIHYDROCHLORIDE	[Cl-].[Cl-].CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(OC)c(OC)cc45.[H+].[H+]
NM:FENIPENTOL	CCCCC(O)c1ccccc1
NM:ISOCONAZOLE NITRATE	O[N+]([O-])=O.Clc1ccc(C(Cn2ccnc2)OCc3c(Cl)cccc3Cl)c(Cl)c1
NM:LORATADINE	CCOC(=O)N1CCC(CC1)=C2c3ccc(Cl)cc3CCc4cccnc24
NM:METHYLBENZETHONIUM CHLORIDE	[Cl-].Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C
NM:MEVASTATIN	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
NM:NEROL	CC(C)=CCC\C(C)=C/CO
NM:PENFLURIDOL	OC1(CCN(CCCC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)c4ccc(Cl)c(c4)C(F)(F)F
NM:PHENYLMERCURIC ACETATE	CC(=O)O[Hg]c1ccccc1
NM:PIROCTONE OLAMINE	CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO
NM:PLUMBAGIN	CC1=CC(=O)c2c(O)cccc2C1=O
NM:PYRITHIONE ZINC	[Zn++](|[S-]c1cccc[n+]1[O-])|[S-]c2cccc[n+]2[O-]
NM:SANGUINARIUM CHLORIDE	[Cl-].C[n+]1cc2c3OCOc3ccc2c4ccc5cc6OCOc6cc5c14
