"PlateType","PlateRows","PlateCols","PlateWells","ScreenType","SaveDirectory","InputDirectory","SignalStatus","PositiveControlName","NegativeControlName","Row","Col","Well","Condition"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","A",1,"A01",NA
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","B",1,"B01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","C",1,"C01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","D",1,"D01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","E",1,"E01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","F",1,"F01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","G",1,"G01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","H",1,"H01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","I",1,"I01","DMSO"
"16x24",16,24,384,"Chemical","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","/Users/dylan/Documents/Bioinformatics/condenscreen/Condenscreen-v1.2/DownloadCondenScreen/","OFF","WT HeLa","DMSO","J",1,"J01","DMSO"
