"PlateType","PlateRows","PlateCols","PlateWells","ScreenType","ScoreType","ScoreReference","SaveDirectory","InputDirectory","SignalStatus","SecondaryMarkerStatus","PositiveControlName","NegativeControlName","Row","Col","Well","Condition"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","A",1,"A01",NA
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","B",1,"B01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","C",1,"C01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","D",1,"D01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","E",1,"E01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","F",1,"F01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","G",1,"G01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","H",1,"H01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","I",1,"I01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","J",1,"J01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","K",1,"K01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","L",1,"L01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","M",1,"M01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","N",1,"N01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","O",1,"O01","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","P",1,"P01",NA
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","A",2,"A02",NA
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","B",2,"B02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","C",2,"C02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","D",2,"D02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","E",2,"E02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","F",2,"F02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","G",2,"G02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","H",2,"H02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","I",2,"I02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","J",2,"J02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","K",2,"K02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","L",2,"L02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","M",2,"M02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","N",2,"N02","WT"
"16x24",16,24,384,"Chemical","Z-score","Negative Control","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","/Users/dylan/Documents/chemical_screen/ChemDiversity2026/hitpick/gitstage/DownloadCondenScreen/","OFF","ON","WT","DMSO","O",2,"O02","WT"
